DEPARTAMENTO_NOM;START_DATE;START_DAY;END_DAY;ARRIVAL_RATE
AMAZONAS;25/03/2020;33;48;0.333333333
ANTIOQUIA;23/02/2020;2;17;2.466666667
ARAUCA;18/04/2020;57;58;1
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;16/03/2020;24;25;1
ATLANTICO;26/02/2020;5;20;0.8
BOGOTA D.C.;21/02/2020;0;15;2.8
BOLIVAR;24/02/2020;3;18;0.533333333
BOYACA;7/03/2020;15;30;0.133333333
CALDAS;6/03/2020;14;29;0.533333333
CAQUETA;19/03/2020;27;28;1
CASANARE;11/03/2020;19;20;1
CAUCA;3/03/2020;11;26;0.133333333
CESAR;8/03/2020;16;31;0.266666667
CHOCO;17/03/2020;25;26;1
CORDOBA;9/03/2020;17;18;1
CUNDINAMARCA;2/03/2020;10;25;1.866666667
GUAINIA;12/05/2020;81;82;1
GUAVIARE;26/05/2020;95;96;1
HUILA;28/02/2020;7;22;0.266666667
LA GUAJIRA;8/03/2020;16;17;1
MAGDALENA;23/02/2020;2;3;1
META;3/03/2020;11;26;0.733333333
NARINO;9/03/2020;17;32;0.266666667
NORTE DE SANTANDER;5/03/2020;13;28;0.8
PUTUMAYO;9/04/2020;48;49;1
QUINDIO;2/03/2020;10;25;0.8
RISARALDA;27/02/2020;6;21;1.066666667
SANTANDER;6/03/2020;14;29;0.8
SUCRE;14/03/2020;22;23;1
TOLIMA;26/02/2020;5;20;0.4
VALLE;24/02/2020;3;18;1.733333333
VAUPES;1/05/2020;70;71;1
VICHADA;23/05/2020;92;93;1
