DEPARTMENT;BIRTH_RATE
AMAZONAS;4.38E-05
ANTIOQUIA;2.96E-05
ARAUCA;4.87E-05
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;3.30E-05
ATLANTICO;4.09E-05
BOGOTA D.C.;2.71E-05
BOLIVAR;4.13E-05
BOYACA;3.02E-05
CALDAS;2.41E-05
CAQUETA;4.42E-05
CASANARE;3.92E-05
CAUCA;3.57E-05
CESAR;4.76E-05
CHOCO;4.33E-05
CORDOBA;3.92E-05
CUNDINAMARCA;3.85E-05
GUAINIA;4.56E-05
GUAVIARE;4.16E-05
HUILA;4.14E-05
LA GUAJIRA;5.59E-05
MAGDALENA;4.36E-05
META;3.78E-05
NARINO;3.13E-05
NORTE DE SANTANDER;3.90E-05
PUTUMAYO;3.51E-05
QUINDIO;2.57E-05
RISARALDA;2.58E-05
SANTANDER;3.34E-05
SUCRE;4.01E-05
TOLIMA;3.37E-05
VALLE;2.73E-05
VAUPES;4.92E-05
VICHADA;3.73E-05
