SYM_DAY,DATE,NEW_1,NEW_2,NEW_3,NEW_4,NEW_5,NEW_6,TOTAL_1,TOTAL_2,TOTAL_3,TOTAL_4,TOTAL_5,TOTAL_6
0,2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0
2,2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0
3,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0
4,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0
5,2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0
6,2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0
7,2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0
8,2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0
9,2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0
10,2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0
11,2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0
12,2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0
13,2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0
14,2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0
15,2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0
16,2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0
17,2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0
18,2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0
19,2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0
20,2020-03-12,0,0,0,0,0,0,0,0,0,0,0,0
21,2020-03-13,0,0,0,0,0,0,0,0,0,0,0,0
22,2020-03-14,0,0,0,0,0,0,0,0,0,0,0,0
23,2020-03-15,0,0,0,0,0,0,0,0,0,0,0,0
24,2020-03-16,1,0,0,0,0,0,1,0,0,0,0,0
25,2020-03-17,0,0,0,0,0,0,1,0,0,0,0,0
26,2020-03-18,0,0,0,0,0,0,1,0,0,0,0,0
27,2020-03-19,0,0,0,0,0,0,1,0,0,0,0,0
28,2020-03-20,0,0,0,0,0,0,1,0,0,0,0,0
29,2020-03-21,0,0,0,0,0,0,1,0,0,0,0,0
30,2020-03-22,0,0,0,0,1,0,1,0,0,0,1,0
31,2020-03-23,1,0,0,0,0,0,2,0,0,0,1,0
32,2020-03-24,0,0,0,0,1,0,2,0,0,0,2,0
33,2020-03-25,0,1,1,0,2,0,2,1,1,0,4,0
34,2020-03-26,0,0,2,0,0,0,2,1,3,0,4,0
35,2020-03-27,2,0,0,1,0,0,4,1,3,1,4,0
36,2020-03-28,1,0,3,1,0,0,5,1,6,2,4,0
37,2020-03-29,0,0,1,0,0,0,5,1,7,2,4,0
38,2020-03-30,2,1,1,0,1,0,7,2,8,2,5,0
39,2020-03-31,1,0,2,0,2,0,8,2,10,2,7,0
40,2020-04-01,0,2,2,0,0,0,8,4,12,2,7,0
41,2020-04-02,2,0,4,0,1,0,10,4,16,2,8,0
42,2020-04-03,3,2,8,0,1,0,13,6,24,2,9,0
43,2020-04-04,0,1,10,1,3,0,13,7,34,3,12,0
44,2020-04-05,3,0,4,1,0,0,16,7,38,4,12,0
45,2020-04-06,1,1,6,2,2,0,17,8,44,6,14,0
46,2020-04-07,1,0,5,2,1,0,18,8,49,8,15,0
47,2020-04-08,2,0,2,1,0,0,20,8,51,9,15,0
48,2020-04-09,3,1,5,0,4,0,23,9,56,9,19,0
49,2020-04-10,1,0,3,0,1,0,24,9,59,9,20,0
50,2020-04-11,1,1,6,0,1,0,25,10,65,9,21,0
51,2020-04-12,3,1,1,0,7,0,28,11,66,9,28,0
52,2020-04-13,1,1,4,0,1,0,29,12,70,9,29,0
53,2020-04-14,1,1,6,0,3,0,30,13,76,9,32,0
54,2020-04-15,0,2,3,0,7,0,30,15,79,9,39,0
55,2020-04-16,4,1,5,1,5,0,34,16,84,10,44,0
56,2020-04-17,1,0,2,1,1,0,35,16,86,11,45,0
57,2020-04-18,3,3,2,0,4,1,38,19,88,11,49,1
58,2020-04-19,0,0,4,0,4,1,38,19,92,11,53,2
59,2020-04-20,3,0,4,0,2,1,41,19,96,11,55,3
60,2020-04-21,1,0,8,0,1,0,42,19,104,11,56,3
61,2020-04-22,5,0,1,0,3,0,47,19,105,11,59,3
62,2020-04-23,4,0,2,1,2,1,51,19,107,12,61,4
63,2020-04-24,5,2,5,1,1,1,56,21,112,13,62,5
64,2020-04-25,5,2,1,1,1,1,61,23,113,14,63,6
65,2020-04-26,4,1,7,2,3,1,65,24,120,16,66,7
66,2020-04-27,4,1,3,0,3,0,69,25,123,16,69,7
67,2020-04-28,2,0,6,0,3,2,71,25,129,16,72,9
68,2020-04-29,3,2,6,3,4,3,74,27,135,19,76,12
69,2020-04-30,8,1,8,2,2,5,82,28,143,21,78,17
70,2020-05-01,5,1,3,1,1,2,87,29,146,22,79,19
71,2020-05-02,9,4,3,0,5,1,96,33,149,22,84,20
72,2020-05-03,12,1,4,1,1,0,108,34,153,23,85,20
73,2020-05-04,7,1,5,0,7,1,115,35,158,23,92,21
74,2020-05-05,12,1,2,0,2,3,127,36,160,23,94,24
75,2020-05-06,9,0,7,0,3,5,136,36,167,23,97,29
76,2020-05-07,9,0,3,1,6,8,145,36,170,24,103,37
77,2020-05-08,11,1,4,0,3,2,156,37,174,24,106,39
78,2020-05-09,6,1,6,0,6,0,162,38,180,24,112,39
79,2020-05-10,8,0,7,0,4,0,170,38,187,24,116,39
80,2020-05-11,10,1,7,3,9,2,180,39,194,27,125,41
81,2020-05-12,8,1,0,0,2,2,188,40,194,27,127,43
82,2020-05-13,4,0,3,0,3,4,192,40,197,27,130,47
83,2020-05-14,10,0,2,0,7,2,202,40,199,27,137,49
84,2020-05-15,12,0,7,1,3,2,214,40,206,28,140,51
85,2020-05-16,7,1,4,3,4,1,221,41,210,31,144,52
86,2020-05-17,10,2,3,0,8,2,231,43,213,31,152,54
87,2020-05-18,10,0,7,1,6,4,241,43,220,32,158,58
88,2020-05-19,16,0,7,0,5,3,257,43,227,32,163,61
89,2020-05-20,14,0,6,0,11,0,271,43,233,32,174,61
90,2020-05-21,9,0,10,2,6,1,280,43,243,34,180,62
