DEPARTMENT;AGE_GROUP;DEATH_RATE
AMAZONAS;e0;1.25E-08
AMAZONAS;e1;2.94E-09
AMAZONAS;e2;6.45E-09
AMAZONAS;e3;9.44E-09
AMAZONAS;e4;1.88E-08
AMAZONAS;e5;2.70E-08
AMAZONAS;e6;5.63E-08
AMAZONAS;e7;2.03E-07
ANTIOQUIA;e0;8.52E-09
ANTIOQUIA;e1;5.55E-09
ANTIOQUIA;e2;1.10E-08
ANTIOQUIA;e3;1.12E-08
ANTIOQUIA;e4;1.41E-08
ANTIOQUIA;e5;2.84E-08
ANTIOQUIA;e6;7.25E-08
ANTIOQUIA;e7;3.21E-07
ARAUCA;e0;1.17E-08
ARAUCA;e1;6.20E-09
ARAUCA;e2;1.91E-08
ARAUCA;e3;1.60E-08
ARAUCA;e4;2.43E-08
ARAUCA;e5;3.27E-08
ARAUCA;e6;8.26E-08
ARAUCA;e7;2.89E-07
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e0;1.10E-08
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e1;4.24E-09
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e2;1.67E-08
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e3;1.19E-08
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e4;2.10E-08
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e5;2.41E-08
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e6;5.51E-08
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e7;3.04E-07
ATLANTICO;e0;1.50E-08
ATLANTICO;e1;3.60E-09
ATLANTICO;e2;9.09E-09
ATLANTICO;e3;1.06E-08
ATLANTICO;e4;1.52E-08
ATLANTICO;e5;3.00E-08
ATLANTICO;e6;7.32E-08
ATLANTICO;e7;3.18E-07
BOGOTA D.C.;e0;8.18E-09
BOGOTA D.C.;e1;3.16E-09
BOGOTA D.C.;e2;6.24E-09
BOGOTA D.C.;e3;7.01E-09
BOGOTA D.C.;e4;1.09E-08
BOGOTA D.C.;e5;2.27E-08
BOGOTA D.C.;e6;5.72E-08
BOGOTA D.C.;e7;2.93E-07
BOLIVAR;e0;1.10E-08
BOLIVAR;e1;3.83E-09
BOLIVAR;e2;7.88E-09
BOLIVAR;e3;9.67E-09
BOLIVAR;e4;1.46E-08
BOLIVAR;e5;2.72E-08
BOLIVAR;e6;6.46E-08
BOLIVAR;e7;2.77E-07
BOYACA;e0;8.38E-09
BOYACA;e1;3.75E-09
BOYACA;e2;6.62E-09
BOYACA;e3;7.58E-09
BOYACA;e4;1.46E-08
BOYACA;e5;2.91E-08
BOYACA;e6;7.29E-08
BOYACA;e7;3.39E-07
CALDAS;e0;9.34E-09
CALDAS;e1;4.18E-09
CALDAS;e2;8.85E-09
CALDAS;e3;9.98E-09
CALDAS;e4;1.51E-08
CALDAS;e5;3.32E-08
CALDAS;e6;7.42E-08
CALDAS;e7;3.50E-07
CAQUETA;e0;9.42E-09
CAQUETA;e1;5.34E-09
CAQUETA;e2;1.16E-08
CAQUETA;e3;1.44E-08
CAQUETA;e4;1.71E-08
CAQUETA;e5;4.02E-08
CAQUETA;e6;7.97E-08
CAQUETA;e7;3.34E-07
CASANARE;e0;6.83E-09
CASANARE;e1;4.96E-09
CASANARE;e2;1.01E-08
CASANARE;e3;1.15E-08
CASANARE;e4;1.59E-08
CASANARE;e5;3.30E-08
CASANARE;e6;7.42E-08
CASANARE;e7;3.34E-07
CAUCA;e0;9.35E-09
CAUCA;e1;5.72E-09
CAUCA;e2;1.57E-08
CAUCA;e3;1.62E-08
CAUCA;e4;1.85E-08
CAUCA;e5;3.15E-08
CAUCA;e6;6.97E-08
CAUCA;e7;2.86E-07
CESAR;e0;1.23E-08
CESAR;e1;3.80E-09
CESAR;e2;7.98E-09
CESAR;e3;1.14E-08
CESAR;e4;1.58E-08
CESAR;e5;3.16E-08
CESAR;e6;7.14E-08
CESAR;e7;2.95E-07
CHOCO;e0;2.22E-08
CHOCO;e1;3.85E-09
CHOCO;e2;1.12E-08
CHOCO;e3;1.30E-08
CHOCO;e4;1.40E-08
CHOCO;e5;3.00E-08
CHOCO;e6;5.72E-08
CHOCO;e7;1.68E-07
CORDOBA;e0;1.25E-08
CORDOBA;e1;3.50E-09
CORDOBA;e2;1.00E-08
CORDOBA;e3;1.12E-08
CORDOBA;e4;1.48E-08
CORDOBA;e5;3.07E-08
CORDOBA;e6;6.48E-08
CORDOBA;e7;2.69E-07
CUNDINAMARCA;e0;8.85E-09
CUNDINAMARCA;e1;3.57E-09
CUNDINAMARCA;e2;8.07E-09
CUNDINAMARCA;e3;9.41E-09
CUNDINAMARCA;e4;1.45E-08
CUNDINAMARCA;e5;3.17E-08
CUNDINAMARCA;e6;8.20E-08
CUNDINAMARCA;e7;3.99E-07
GUAINIA;e0;1.97E-08
GUAINIA;e1;4.52E-09
GUAINIA;e2;6.58E-09
GUAINIA;e3;1.06E-08
GUAINIA;e4;1.64E-08
GUAINIA;e5;2.03E-08
GUAINIA;e6;4.62E-08
GUAINIA;e7;1.51E-07
GUAVIARE;e0;1.40E-08
GUAVIARE;e1;5.29E-09
GUAVIARE;e2;1.20E-08
GUAVIARE;e3;1.11E-08
GUAVIARE;e4;2.11E-08
GUAVIARE;e5;3.60E-08
GUAVIARE;e6;8.64E-08
GUAVIARE;e7;2.70E-07
HUILA;e0;9.05E-09
HUILA;e1;4.30E-09
HUILA;e2;9.30E-09
HUILA;e3;9.54E-09
HUILA;e4;1.59E-08
HUILA;e5;3.12E-08
HUILA;e6;7.79E-08
HUILA;e7;3.69E-07
LA GUAJIRA;e0;2.39E-08
LA GUAJIRA;e1;3.70E-09
LA GUAJIRA;e2;8.47E-09
LA GUAJIRA;e3;1.03E-08
LA GUAJIRA;e4;1.50E-08
LA GUAJIRA;e5;2.56E-08
LA GUAJIRA;e6;5.50E-08
LA GUAJIRA;e7;1.85E-07
MAGDALENA;e0;1.26E-08
MAGDALENA;e1;3.42E-09
MAGDALENA;e2;8.38E-09
MAGDALENA;e3;1.16E-08
MAGDALENA;e4;1.74E-08
MAGDALENA;e5;2.83E-08
MAGDALENA;e6;6.86E-08
MAGDALENA;e7;2.90E-07
META;e0;1.09E-08
META;e1;4.64E-09
META;e2;9.36E-09
META;e3;1.09E-08
META;e4;1.64E-08
META;e5;3.45E-08
META;e6;9.32E-08
META;e7;3.66E-07
NARINO;e0;1.10E-08
NARINO;e1;5.93E-09
NARINO;e2;1.27E-08
NARINO;e3;1.30E-08
NARINO;e4;1.80E-08
NARINO;e5;2.84E-08
NARINO;e6;6.83E-08
NARINO;e7;2.98E-07
NORTE DE SANTANDER;e0;1.26E-08
NORTE DE SANTANDER;e1;3.99E-09
NORTE DE SANTANDER;e2;1.11E-08
NORTE DE SANTANDER;e3;1.45E-08
NORTE DE SANTANDER;e4;1.97E-08
NORTE DE SANTANDER;e5;3.41E-08
NORTE DE SANTANDER;e6;8.23E-08
NORTE DE SANTANDER;e7;3.09E-07
PUTUMAYO;e0;8.88E-09
PUTUMAYO;e1;5.47E-09
PUTUMAYO;e2;1.50E-08
PUTUMAYO;e3;1.32E-08
PUTUMAYO;e4;1.74E-08
PUTUMAYO;e5;2.93E-08
PUTUMAYO;e6;6.45E-08
PUTUMAYO;e7;2.42E-07
QUINDIO;e0;9.31E-09
QUINDIO;e1;6.22E-09
QUINDIO;e2;1.10E-08
QUINDIO;e3;1.39E-08
QUINDIO;e4;1.45E-08
QUINDIO;e5;3.19E-08
QUINDIO;e6;8.10E-08
QUINDIO;e7;3.62E-07
RISARALDA;e0;8.99E-09
RISARALDA;e1;3.72E-09
RISARALDA;e2;9.59E-09
RISARALDA;e3;1.08E-08
RISARALDA;e4;1.38E-08
RISARALDA;e5;3.16E-08
RISARALDA;e6;7.80E-08
RISARALDA;e7;3.38E-07
SANTANDER;e0;7.57E-09
SANTANDER;e1;4.05E-09
SANTANDER;e2;8.18E-09
SANTANDER;e3;9.02E-09
SANTANDER;e4;1.43E-08
SANTANDER;e5;2.82E-08
SANTANDER;e6;7.39E-08
SANTANDER;e7;3.29E-07
SUCRE;e0;1.12E-08
SUCRE;e1;3.00E-09
SUCRE;e2;7.14E-09
SUCRE;e3;1.05E-08
SUCRE;e4;1.47E-08
SUCRE;e5;2.69E-08
SUCRE;e6;6.40E-08
SUCRE;e7;2.44E-07
TOLIMA;e0;7.98E-09
TOLIMA;e1;4.55E-09
TOLIMA;e2;8.88E-09
TOLIMA;e3;1.17E-08
TOLIMA;e4;1.85E-08
TOLIMA;e5;3.28E-08
TOLIMA;e6;7.93E-08
TOLIMA;e7;3.78E-07
VALLE;e0;8.41E-09
VALLE;e1;6.70E-09
VALLE;e2;1.44E-08
VALLE;e3;1.39E-08
VALLE;e4;1.78E-08
VALLE;e5;3.17E-08
VALLE;e6;7.60E-08
VALLE;e7;3.29E-07
VAUPES;e0;2.34E-08
VAUPES;e1;9.92E-10
VAUPES;e2;8.52E-09
VAUPES;e3;6.97E-09
VAUPES;e4;1.68E-08
VAUPES;e5;2.15E-08
VAUPES;e6;3.02E-08
VAUPES;e7;7.70E-08
VICHADA;e0;3.44E-08
VICHADA;e1;2.88E-09
VICHADA;e2;4.50E-09
VICHADA;e3;1.03E-08
VICHADA;e4;1.07E-08
VICHADA;e5;2.88E-08
VICHADA;e6;4.97E-08
VICHADA;e7;1.21E-07
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
