PARAMETER;AGE_GROUP;HEALTH_GROUP;INF_VALUE;BASE_VALUE;MAX_VALUE
p_s;e0;ALL;0.000535871;0.004663526;0.07212534
p_s;e1;ALL;0.009489722;0.044264141;0.319720847
p_s;e2;ALL;0.006482343;0.030236431;0.218398394
p_s;e3;ALL;0.088974365;0.184054813;0.403437683
p_s;e4;ALL;0.05334223;0.112409672;0.225517541
p_s;e5;ALL;0.094474378;0.163407717;0.351532568
p_s;e6;ALL;0.105592004;0.183596908;0.370047655
p_s;e7;ALL;0.125916321;0.247357956;0.438705979
p_c;e0;H;0.090909091;0.090909091;0.090909091
p_c;e1;H;0.590909091;0.590909091;0.590909091
p_c;e2;H;0.62195122;0.62195122;0.62195122
p_c;e3;H;0.625641026;0.625641026;0.625641026
p_c;e4;H;0.558359621;0.558359621;0.558359621
p_c;e5;H;0.504966887;0.504966887;0.504966887
p_c;e6;H;0.413138686;0.413138686;0.413138686
p_c;e7;H;0.30420354;0.30420354;0.30420354
p_c;e0;S;0.70995671;0.70995671;0.70995671
p_c;e1;S;0.886462882;0.886462882;0.886462882
p_c;e2;S;0.854654328;0.854654328;0.854654328
p_c;e3;S;0.801190476;0.801190476;0.801190476
p_c;e4;S;0.796931408;0.796931408;0.796931408
p_c;e5;S;0.688338493;0.688338493;0.688338493
p_c;e6;S;0.56952381;0.56952381;0.56952381
p_c;e7;S;0.404907975;0.404907975;0.404907975
p_h;e0;H;0.454545455;0.454545455;0.454545455
p_h;e1;H;0.363636364;0.363636364;0.363636364
p_h;e2;H;0.256097561;0.256097561;0.256097561
p_h;e3;H;0.271794872;0.271794872;0.271794872
p_h;e4;H;0.334384858;0.334384858;0.334384858
p_h;e5;H;0.367549669;0.367549669;0.367549669
p_h;e6;H;0.379562044;0.379562044;0.379562044
p_h;e7;H;0.465707965;0.465707965;0.465707965
p_h;e0;S;0.25974026;0.25974026;0.25974026
p_h;e1;S;0.104803493;0.104803493;0.104803493
p_h;e2;S;0.136091453;0.136091453;0.136091453
p_h;e3;S;0.181547619;0.181547619;0.181547619
p_h;e4;S;0.173285199;0.173285199;0.173285199
p_h;e5;S;0.243550052;0.243550052;0.243550052
p_h;e6;S;0.287619048;0.287619048;0.287619048
p_h;e7;S;0.396728016;0.396728016;0.396728016
p_c_d;e0;H;0.024590164;0.024590164;0.024590164
p_c_d;e1;H;0.024590164;0.024590164;0.024590164
p_c_d;e2;H;0.024590164;0.024590164;0.024590164
p_c_d;e3;H;0.024590164;0.024590164;0.024590164
p_c_d;e4;H;0.02259887;0.02259887;0.02259887
p_c_d;e5;H;0.019672131;0.019672131;0.019672131
p_c_d;e6;H;0.017667845;0.017667845;0.017667845
p_c_d;e7;H;0.141818182;0.141818182;0.141818182
p_c_d;e0;S;0.006097561;0.006097561;0.006097561
p_c_d;e1;S;0.003367252;0.003367252;0.003367252
p_c_d;e2;S;0.000636943;0.000636943;0.000636943
p_c_d;e3;S;0.001485884;0.001485884;0.001485884
p_c_d;e4;S;0.004530011;0.004530011;0.004530011
p_c_d;e5;S;0.016491754;0.016491754;0.016491754
p_c_d;e6;S;0.056856187;0.056856187;0.056856187
p_c_d;e7;S;0.166666667;0.166666667;0.166666667
p_h_d;e0;H;0.25;0.25;0.25
p_h_d;e1;H;0.25;0.25;0.25
p_h_d;e2;H;0.143867925;0.143867925;0.143867925
p_h_d;e3;H;0.037735849;0.037735849;0.037735849
p_h_d;e4;H;0.160377358;0.160377358;0.160377358
p_h_d;e5;H;0.09009009;0.09009009;0.09009009
p_h_d;e6;H;0.161538462;0.161538462;0.161538462
p_h_d;e7;H;0.344418052;0.344418052;0.344418052
p_h_d;e0;S;0.008;0.008;0.008
p_h_d;e1;S;0.008;0.008;0.008
p_h_d;e2;S;0.008;0.008;0.008
p_h_d;e3;S;0.02295082;0.02295082;0.02295082
p_h_d;e4;S;0.03125;0.03125;0.03125
p_h_d;e5;S;0.072033898;0.072033898;0.072033898
p_h_d;e6;S;0.125827815;0.125827815;0.125827815
p_h_d;e7;S;0.386597938;0.386597938;0.386597938
p_i_d;e0;H;0.4;0.4;0.4
p_i_d;e1;H;1;1;1
p_i_d;e2;H;0.3;0.3;0.3
p_i_d;e3;H;0.85;0.85;0.85
p_i_d;e4;H;0.735294118;0.735294118;0.735294118
p_i_d;e5;H;0.662337662;0.662337662;0.662337662
p_i_d;e6;H;0.809859155;0.809859155;0.809859155
p_i_d;e7;H;0.798076923;0.798076923;0.798076923
p_i_d;e0;S;0.571428571;0.571428571;0.571428571
p_i_d;e1;S;0.550420168;0.550420168;0.550420168
p_i_d;e2;S;0.529411765;0.529411765;0.529411765
p_i_d;e3;S;0.620689655;0.620689655;0.620689655
p_i_d;e4;S;0.787878788;0.787878788;0.787878788
p_i_d;e5;S;0.727272727;0.727272727;0.727272727
p_i_d;e6;S;0.813333333;0.813333333;0.813333333
p_i_d;e7;S;0.793814433;0.793814433;0.793814433
initial_sus;ALL;ALL;0.8;1;1
