PARAMETER;AGE_GROUP;HEALTH_GROUP;INF_VALUE;BASE_VALUE;MAX_VALUE
t_e;ALL;ALL;2;3;6
t_p;ALL;ALL;1;1.5;2
t_sy;ALL;ALL;2.5;3;3.5
t_d;e0;ALL;13.83650797;14.1383106;14.44011323
t_d;e1;ALL;13.37277966;13.79381012;14.21484058
t_d;e2;ALL;11.5979002;11.78791433;11.97792846
t_d;e3;ALL;12.45194689;13.02978056;13.60761424
t_d;e4;ALL;13.20663711;14.98875256;16.770868
t_d;e5;ALL;12.81948594;13.81153846;14.80359098
t_d;e6;ALL;10.49324935;15.38541667;18.91245791
t_d;e7;ALL;8.927842392;12.48989899;16.05195559
t_r;e0;ALL;21.6076772;21.70401838;21.80035956
t_r;e1;ALL;20.87719416;20.94003485;21.00287554
t_r;e2;ALL;22.07857332;22.19788224;22.31719115
t_r;e3;ALL;20.42635554;20.47728648;20.52821742
t_r;e4;ALL;19.87445645;19.91375504;19.95305363
t_r;e5;ALL;20.14678042;20.18662407;20.22646772
t_r;e6;ALL;19.83864919;19.91245791;19.98626663
t_r;e7;ALL;20.75631455;20.87321504;20.99011553
t_a;ALL;ALL;5;10;14
t_ri;ALL;ALL;72;90;108
