DEPARTMENT;AGE_GROUP;O_TO_M;M_TO_O
AMAZONAS;e0;0;0
AMAZONAS;e1;0.000711822;0
AMAZONAS;e2;0.03148029;0
AMAZONAS;e3;0.006569083;0
AMAZONAS;e4;0;0.652062904
AMAZONAS;e5;0;0.232892123
AMAZONAS;e6;0;0.573591794
AMAZONAS;e7;0;0.765291091
ANTIOQUIA;e0;0;0
ANTIOQUIA;e1;0.000580575;0
ANTIOQUIA;e2;0.021926923;0
ANTIOQUIA;e3;0.001054066;0
ANTIOQUIA;e4;0;0.49404052
ANTIOQUIA;e5;0;0.125040142
ANTIOQUIA;e6;0;0.495593208
ANTIOQUIA;e7;0;0.267538033
ARAUCA;e0;0;0
ARAUCA;e1;0.001372774;0
ARAUCA;e2;0.066631157;0
ARAUCA;e3;0;0.230133128
ARAUCA;e4;0;0.621178874
ARAUCA;e5;0;0.645741478
ARAUCA;e6;0;0.608644386
ARAUCA;e7;0;0.774487863
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e0;0;0
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e1;0;0
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e2;0.046807677;0
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e3;0;0.309745346
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e4;0;0.483721097
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e5;0;0.449419403
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e6;0;0.342434822
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e7;0;0.641583906
ATLANTICO;e0;0;0
ATLANTICO;e1;0.000736181;0
ATLANTICO;e2;0.071846524;0
ATLANTICO;e3;0;0.419591953
ATLANTICO;e4;0;0.610653322
ATLANTICO;e5;0;0.501453761
ATLANTICO;e6;0;0.404399836
ATLANTICO;e7;0;0.813954626
BOGOTA D.C.;e0;0;0
BOGOTA D.C.;e1;0.001208562;0
BOGOTA D.C.;e2;0.063366212;0
BOGOTA D.C.;e3;0;0.325710049
BOGOTA D.C.;e4;0;0.48783065
BOGOTA D.C.;e5;0;0.426860017
BOGOTA D.C.;e6;0;0.485936936
BOGOTA D.C.;e7;0;0.745725484
BOLIVAR;e0;0;0
BOLIVAR;e1;0.000125002;0
BOLIVAR;e2;0.051605225;0
BOLIVAR;e3;0;0.239469457
BOLIVAR;e4;0;0.520275763
BOLIVAR;e5;0;0.565651848
BOLIVAR;e6;0;0.501155478
BOLIVAR;e7;0;0.797734827
BOYACA;e0;0;0
BOYACA;e1;0.00094712;0
BOYACA;e2;0.063486395;0
BOYACA;e3;0;0.429277831
BOYACA;e4;0;0.58091824
BOYACA;e5;0;0.51842463
BOYACA;e6;0;0.644196298
BOYACA;e7;0;0.819573002
CALDAS;e0;0;0
CALDAS;e1;0.001066651;0
CALDAS;e2;0.074571963;0
CALDAS;e3;0;0.371982963
CALDAS;e4;0;0.58770447
CALDAS;e5;0;0.526855788
CALDAS;e6;0;0.55866896
CALDAS;e7;0;0.743058438
CAQUETA;e0;0;0
CAQUETA;e1;0.000809264;0
CAQUETA;e2;0.055190646;0
CAQUETA;e3;0;0.296903661
CAQUETA;e4;0;0.567102249
CAQUETA;e5;0;0.527902769
CAQUETA;e6;0;0.533444165
CAQUETA;e7;0;0.830797983
CASANARE;e0;0;0
CASANARE;e1;0.000348026;0
CASANARE;e2;0.031877987;0
CASANARE;e3;0;0.261868185
CASANARE;e4;0;0.537215351
CASANARE;e5;0;0.518884768
CASANARE;e6;0;0.642833035
CASANARE;e7;0;0.751799485
CAUCA;e0;0;0
CAUCA;e1;0.000990497;0
CAUCA;e2;0.076138545;0
CAUCA;e3;0;0.324094598
CAUCA;e4;0;0.492317733
