SYM_DAY,DATE,NEW_1,NEW_2,NEW_3,NEW_4,NEW_5,NEW_6,TOTAL_1,TOTAL_2,TOTAL_3,TOTAL_4,TOTAL_5,TOTAL_6
0,2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0
2,2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0
3,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0
4,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0
5,2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0
6,2020-02-27,0,0,1,0,0,0,0,0,1,0,0,0
7,2020-02-28,0,0,1,0,1,0,0,0,2,0,1,0
8,2020-02-29,1,1,0,0,0,0,1,1,2,0,1,0
9,2020-03-01,1,0,3,0,1,0,2,1,5,0,2,0
10,2020-03-02,2,1,0,0,1,0,4,2,5,0,3,0
11,2020-03-03,1,1,0,0,0,0,5,3,5,0,3,0
12,2020-03-04,0,1,1,0,1,0,5,4,6,0,4,0
13,2020-03-05,0,2,5,0,1,0,5,6,11,0,5,0
14,2020-03-06,5,4,6,0,0,0,10,10,17,0,5,0
15,2020-03-07,0,1,10,1,3,0,10,11,27,1,8,0
16,2020-03-08,0,4,6,0,1,0,10,15,33,1,9,0
17,2020-03-09,2,6,6,1,7,0,12,21,39,2,16,0
18,2020-03-10,2,17,13,0,6,0,14,38,52,2,22,0
19,2020-03-11,3,6,22,1,2,0,17,44,74,3,24,0
20,2020-03-12,5,6,23,3,12,0,22,50,97,6,36,0
21,2020-03-13,7,19,28,2,10,0,29,69,125,8,46,0
22,2020-03-14,13,25,40,5,14,0,42,94,165,13,60,0
23,2020-03-15,20,23,58,8,24,0,62,117,223,21,84,0
24,2020-03-16,17,27,70,2,21,0,79,144,293,23,105,0
25,2020-03-17,14,19,62,5,21,1,93,163,355,28,126,1
26,2020-03-18,14,35,59,4,25,1,107,198,414,32,151,2
27,2020-03-19,13,26,92,5,24,1,120,224,506,37,175,3
28,2020-03-20,23,28,94,7,43,1,143,252,600,44,218,4
29,2020-03-21,22,19,85,3,30,0,165,271,685,47,248,4
30,2020-03-22,23,25,65,11,23,0,188,296,750,58,271,4
31,2020-03-23,10,25,70,3,38,1,198,321,820,61,309,5
32,2020-03-24,18,19,59,13,28,0,216,340,879,74,337,5
33,2020-03-25,14,21,78,9,39,0,230,361,957,83,376,5
34,2020-03-26,15,26,74,4,31,1,245,387,1031,87,407,6
35,2020-03-27,10,22,87,5,21,0,255,409,1118,92,428,6
36,2020-03-28,16,14,85,9,25,1,271,423,1203,101,453,7
37,2020-03-29,20,4,72,5,11,0,291,427,1275,106,464,7
38,2020-03-30,15,15,69,5,33,1,306,442,1344,111,497,8
39,2020-03-31,9,8,55,5,20,1,315,450,1399,116,517,9
40,2020-04-01,30,20,98,3,43,0,345,470,1497,119,560,9
41,2020-04-02,18,17,63,12,31,0,363,487,1560,131,591,9
42,2020-04-03,24,12,66,4,26,0,387,499,1626,135,617,9
43,2020-04-04,26,10,97,6,28,0,413,509,1723,141,645,9
44,2020-04-05,20,8,70,14,25,1,433,517,1793,155,670,10
45,2020-04-06,24,17,96,8,33,0,457,534,1889,163,703,10
46,2020-04-07,32,13,60,5,23,1,489,547,1949,168,726,11
47,2020-04-08,25,21,78,6,21,1,514,568,2027,174,747,12
48,2020-04-09,12,17,72,4,34,1,526,585,2099,178,781,13
49,2020-04-10,36,30,108,13,27,1,562,615,2207,191,808,14
50,2020-04-11,20,24,76,7,31,8,582,639,2283,198,839,22
51,2020-04-12,33,38,80,5,38,3,615,677,2363,203,877,25
52,2020-04-13,33,24,75,19,49,8,648,701,2438,222,926,33
53,2020-04-14,29,37,72,18,36,5,677,738,2510,240,962,38
54,2020-04-15,34,21,90,9,45,10,711,759,2600,249,1007,48
55,2020-04-16,36,16,125,24,30,3,747,775,2725,273,1037,51
56,2020-04-17,33,14,83,18,29,8,780,789,2808,291,1066,59
57,2020-04-18,44,29,114,6,55,10,824,818,2922,297,1121,69
58,2020-04-19,61,29,83,7,39,10,885,847,3005,304,1160,79
59,2020-04-20,72,28,124,11,80,43,957,875,3129,315,1240,122
60,2020-04-21,48,13,89,9,47,29,1005,888,3218,324,1287,151
61,2020-04-22,53,12,81,12,53,22,1058,900,3299,336,1340,173
62,2020-04-23,63,14,105,12,49,49,1121,914,3404,348,1389,222
63,2020-04-24,75,16,94,8,55,42,1196,930,3498,356,1444,264
64,2020-04-25,89,13,104,6,62,53,1285,943,3602,362,1506,317
65,2020-04-26,117,7,130,2,60,44,1402,950,3732,364,1566,361
66,2020-04-27,99,26,105,6,75,52,1501,976,3837,370,1641,413
67,2020-04-28,146,9,147,3,74,41,1647,985,3984,373,1715,454
68,2020-04-29,130,16,119,2,54,38,1777,1001,4103,375,1769,492
69,2020-04-30,194,15,122,2,82,54,1971,1016,4225,377,1851,546
70,2020-05-01,239,23,221,16,133,63,2210,1039,4446,393,1984,609
71,2020-05-02,223,38,160,5,95,50,2433,1077,4606,398,2079,659
72,2020-05-03,205,12,156,8,97,39,2638,1089,4762,406,2176,698
73,2020-05-04,279,19,164,4,110,80,2917,1108,4926,410,2286,778
74,2020-05-05,294,22,209,10,134,100,3211,1130,5135,420,2420,878
75,2020-05-06,303,13,243,7,115,95,3514,1143,5378,427,2535,973
76,2020-05-07,275,25,176,7,128,58,3789,1168,5554,434,2663,1031
77,2020-05-08,286,32,241,9,120,29,4075,1200,5795,443,2783,1060
78,2020-05-09,287,30,245,2,150,21,4362,1230,6040,445,2933,1081
79,2020-05-10,323,25,374,10,158,149,4685,1255,6414,455,3091,1230
80,2020-05-11,292,35,320,7,124,16,4977,1290,6734,462,3215,1246
81,2020-05-12,366,25,303,12,150,44,5343,1315,7037,474,3365,1290
82,2020-05-13,299,30,317,7,215,92,5642,1345,7354,481,3580,1382
83,2020-05-14,327,41,306,7,210,44,5969,1386,7660,488,3790,1426
84,2020-05-15,418,43,337,7,220,82,6387,1429,7997,495,4010,1508
85,2020-05-16,475,31,327,6,202,27,6862,1460,8324,501,4212,1535
86,2020-05-17,501,29,327,7,259,14,7363,1489,8651,508,4471,1549
