PARAMETER;AGE_GROUP;HEALTH_GROUP;INF_VALUE;BASE_VALUE;MAX_VALUE
p_s;e0;ALL;0.000535871;0.004663526;0.07212534
p_s;e1;ALL;0.009489722;0.044264141;0.319720847
p_s;e2;ALL;0.006482343;0.030236431;0.218398394
p_s;e3;ALL;0.088974365;0.184054813;0.403437683
p_s;e4;ALL;0.05334223;0.112409672;0.225517541
p_s;e5;ALL;0.094474378;0.163407717;0.351532568
p_s;e6;ALL;0.105592004;0.183596908;0.370047655
p_s;e7;ALL;0.11541514;0.213603936;0.399752946
p_c;e0;S;0.9510152;0.9510152;0.9510152
p_c;e1;S;0.982335641;0.982335641;0.982335641
p_c;e2;S;0.985039143;0.985039143;0.985039143
p_c;e3;S;0.977698574;0.977698574;0.977698574
p_c;e4;S;0.957890117;0.957890117;0.957890117
p_c;e5;S;0.925525061;0.925525061;0.925525061
p_c;e6;S;0.868051475;0.868051475;0.868051475
p_c;e7;S;0.790431421;0.790431421;0.790431421
p_c;e0;H;0.894766135;0.894766135;0.894766135
p_c;e1;H;0.96179128;0.96179128;0.96179128
p_c;e2;H;0.968485565;0.968485565;0.968485565
p_c;e3;H;0.952075361;0.952075361;0.952075361
p_c;e4;H;0.905973742;0.905973742;0.905973742
p_c;e5;H;0.832207144;0.832207144;0.832207144
p_c;e6;H;0.696620629;0.696620629;0.696620629
p_c;e7;H;0.542116339;0.542116339;0.542116339
p_h;e0;S;0.044938634;0.044938634;0.044938634
p_h;e1;S;0.016130085;0.016130085;0.016130085
p_h;e2;S;0.01390579;0.01390579;0.01390579
p_h;e3;S;0.020455112;0.020455112;0.020455112
p_h;e4;S;0.03760329;0.03760329;0.03760329
p_h;e5;S;0.066071769;0.066071769;0.066071769
p_h;e6;S;0.115299987;0.115299987;0.115299987
p_h;e7;S;0.190044253;0.190044253;0.190044253
p_h;e0;H;0.0836843;0.0836843;0.0836843
p_h;e1;H;0.030037292;0.030037292;0.030037292
p_h;e2;H;0.025895231;0.025895231;0.025895231
p_h;e3;H;0.038091318;0.038091318;0.038091318
p_h;e4;H;0.070024491;0.070024491;0.070024491
p_h;e5;H;0.123038226;0.123038226;0.123038226
p_h;e6;H;0.214710549;0.214710549;0.214710549
p_h;e7;H;0.353898617;0.353898617;0.353898617
p_c_d;e0;S;0.0061;0.0002;0.0333
p_c_d;e1;S;0;0;0.0088
p_c_d;e2;S;0.0006;0;0.0034
p_c_d;e3;S;0.0034;0.0011;0.0079
p_c_d;e4;S;0.0075;0.0033;0.0148
p_c_d;e5;S;0.0175;0.0102;0.0279
p_c_d;e6;S;0.0378;0.0238;0.0567
p_c_d;e7;S;0.152;0.121;0.188
p_c_d;e0;H;0.0061;0.0002;0.0333
p_c_d;e1;H;0;0;0.0088
p_c_d;e2;H;0.0006;0;0.0034
p_c_d;e3;H;0.0034;0.0011;0.0079
p_c_d;e4;H;0.0075;0.0033;0.0148
p_c_d;e5;H;0.0175;0.0102;0.0279
p_c_d;e6;H;0.0378;0.0238;0.0567
p_c_d;e7;H;0.152;0.121;0.188
p_h_d;e0;S;0;0;0.0552
p_h_d;e1;S;0.0357;0.0044;0.123
p_h_d;e2;S;0.0074;0.0009;0.0264
p_h_d;e3;S;0.0251;0.0116;0.0472
p_h_d;e4;S;0.0772;0.0496;0.114
p_h_d;e5;S;0.0808;0.0575;0.11
p_h_d;e6;S;0.148;0.115;0.187
p_h_d;e7;S;0.358;0.32;0.397
p_h_d;e0;H;0;0;0.0552
p_h_d;e1;H;0.0357;0.0044;0.123
p_h_d;e2;H;0.0074;0.0009;0.0264
p_h_d;e3;H;0.0251;0.0116;0.0472
p_h_d;e4;H;0.0772;0.0496;0.114
p_h_d;e5;H;0.0808;0.0575;0.11
p_h_d;e6;H;0.148;0.115;0.187
p_h_d;e7;H;0.358;0.32;0.397
p_i_d;e0;S;0.5;0.211;0.789
p_i_d;e1;S;0.2;0.0051;0.716
p_i_d;e2;S;0.444;0.255;0.647
p_i_d;e3;S;0.714;0.567;0.834
p_i_d;e4;S;0.761;0.641;0.857
p_i_d;e5;S;0.692;0.61;0.767
p_i_d;e6;S;0.811;0.753;0.861
p_i_d;e7;S;0.797;0.747;0.84
p_i_d;e0;H;0.5;0.211;0.789
p_i_d;e1;H;0.2;0.0051;0.716
p_i_d;e2;H;0.444;0.255;0.647
p_i_d;e3;H;0.714;0.567;0.834
p_i_d;e4;H;0.761;0.641;0.857
p_i_d;e5;H;0.692;0.61;0.767
p_i_d;e6;H;0.811;0.753;0.861
p_i_d;e7;H;0.797;0.747;0.84
initial_sus;ALL;ALL;0.8;1;1
